gene	stage0	stage1	stage2	stage3
NTM	0.17346312	0.21534714	0.16490139	0.09518224
GPC5	0.10820884	0.21287647	0.13472201	0.17730051
CFAP299	0.08926695	0.18240842	0.24208152	0.17820144
SCGB1A1	0.19844815	0.5184144	0.442309	0.3840034
BPIFB1	0.07467067	0.22855777	0.39237204	0.4411136
CPA6	0.044595763	0.114671774	0.11674764	0.1729739
NRG1	0.12552217	0.17783397	0.1487373	0.19880122
TMEM132D	0.049267992	0.053579614	0.10974399	0.17124052
MACROD2	0.25486788	0.1992741	0.19324727	0.1948027
PKN2-AS1	0.1951675	0.20775321	0.24771266	0.15945497
AC004470.2	0.06339216	0.16495897	0.14504379	0.1423775
AGBL4	0.09614712	0.15100075	0.1789032	0.17946014
TNC	0.051617082	0.2017759	0.15569861	0.20585072
LRRK2	0.30923554	0.31384724	0.19124843	0.22910453
PTPRT	0.03835931	0.110938504	0.14541298	0.1468039
PCSK2	0.08773682	0.07274556	0.05596697	0.10985712
EREG	0.12829407	0.18132009	0.11397708	0.10118406
DNAH12	0.11953794	0.17029436	0.2520032	0.18767717
AGBL1	0.1320392	0.14547697	0.1848576	0.121346295
NCKAP5	0.43087545	0.56025016	0.4128314	0.36038315
NELL1	0.028688557	0.07789461	0.08551108	0.1353317
CCDC141	0.0933907	0.14449163	0.11414512	0.10593326
SCGB3A1	0.19512154	0.53084326	0.47501805	0.36053407
MGC27382	0.06310641	0.1252465	0.09561952	0.103862375
SFTPC	0.25593433	0.20061412	0.21962015	0.22613423
RIMS1	0.29586226	0.20309609	0.32594022	0.2019169
TP63	0.038990617	0.100948796	0.17109625	0.22815213
ELN	0.13539912	0.26308602	0.23050193	0.33313498
RP1	0.13575676	0.16907004	0.18714309	0.2158711
TMEM163	0.097372614	0.17104739	0.09884351	0.12539221
ZNF385B	0.18629414	0.18060265	0.13987815	0.13297191
AC112770.1	0.024882473	0.10350769	0.06841151	0.134512
KCNQ5	0.055922322	0.09296032	0.22096793	0.24199702
DLGAP1	0.07485316	0.17963237	0.17060769	0.11628829
SERPINE1	0.29127094	0.46433783	0.42364332	0.6658825
CDH2	0.024330804	0.04785581	0.06442758	0.23864985
DNAH9	0.083872736	0.08691755	0.15947519	0.13121924
SCEL	0.18445149	0.24674445	0.15025483	0.13778022
LRRIQ1	0.103562176	0.20017096	0.2531234	0.23807359
NEK10	0.08965936	0.13513307	0.19703083	0.16446227
PLD5	0.038475934	0.07344556	0.09212261	0.21014091
HPSE2	0.069094725	0.20692213	0.22537117	0.3301746
FRMD5	0.05601205	0.13576478	0.16541794	0.19298522
AC046195.1	0.06424094	0.10740572	0.08958439	0.079451844
TMEM232	0.114479065	0.15659863	0.22499947	0.17915317
CCL21	0.03210406	0.14023085	0.06342406	0.16103743
IGHD	0.11447544	0.1952585	0.19890445	0.14025348
PRB4	0.09716202	0.11630712	0.7336087	0.12432313
ACOXL	0.14265409	0.12470662	0.114962734	0.08662757
DKK2	0.21723053	0.48358375	0.5017726	0.4677318
LRRTM4	0.044545565	0.11721419	0.11958171	0.080729544
SFTPB	0.20810904	0.18035898	0.24497013	0.16215664
KCNIP4	0.08727502	0.08718915	0.11313946	0.16514263
CEMIP	0.6150338	0.4796533	0.44597736	0.43863606
LINC02388	0.06770062	0.07675113	0.09225565	0.23327261
P3H2	0.10481061	0.1411866	0.12748648	0.0775461
NEAT1	0.2858729	0.17678478	0.2768256	0.19679686
PGC	0.078179225	0.20707071	0.12724595	0.17677543
SYT14	0.017947957	0.021372156	0.037823606	0.099353865
ZPLD1	0.042835567	0.069463216	0.08456561	0.09736966
CMAHP	0.11128525	0.2017726	0.16945703	0.18559489
LINC01811	0.084939696	0.057417452	0.13262802	0.024180803
ITGA2	0.13788714	0.24565011	0.31476977	0.34994793
COL8A1	0.1377248	0.25317112	0.1595082	0.21858029
TTN	0.2146122	0.30934772	0.16914539	0.16462666
SPAG16	0.10054305	0.17118138	0.21797167	0.21442659
CDHR3	0.064966954	0.14186786	0.2018727	0.11846392
CPM	0.2145136	0.21155077	0.21962577	0.19796084
PACRG	0.098132916	0.16260621	0.17829287	0.13662097
LYZ	0.09615489	0.2338857	0.6006413	0.16221075
ANK3	0.1960702	0.16574466	0.14944404	0.14356762
ABCA3	0.14147317	0.12607825	0.10036531	0.11406624
ADAMTSL1	0.043746397	0.15142114	0.20688814	0.19719672
DCDC1	0.089608245	0.12024164	0.20609419	0.15620197
CDC20B	0.046435904	0.06681965	0.106587954	0.060118504
KIF26B	0.063133545	0.15955222	0.12379708	0.25657013
LINC02889	0.107500814	0.18284799	0.14923348	0.16731307
GDF15	0.17565913	0.12591572	0.1515143	0.17737776
MEGF9	0.1820527	0.19879784	0.19125445	0.20381492
ACTG2	0.025435662	0.10060653	0.10649556	0.12735075
KHDRBS2	0.4093406	0.40372783	0.4007564	0.39192778
PRB3	0.01854373	0.059313595	0.6992314	0.076170415
SFTPA1	0.28281233	0.33667225	0.20030886	0.20090039
MIR924HG	0.04345154	0.07878653	0.07981695	0.1508523
AC007368.1	0.022334188	0.04226655	0.16328706	0.12516668
PDE4D	0.2407725	0.10218154	0.14663705	0.15962327
LINC01705	0.01740796	0.052161817	0.027772762	0.050811738
CFAP54	0.12215615	0.15951955	0.18697686	0.22259231
TIMP3	0.90955573	0.93948317	0.9144059	0.8483032
DNAH3	0.062997766	0.052372627	0.13130692	0.12712687
SNX25	0.18202554	0.18197334	0.15493627	0.14161658
ROBO2	0.12786253	0.29983607	0.22415765	0.22579996
SLC6A14	0.071634695	0.19649369	0.096996635	0.13397366
VSIG1	0.057908814	0.038160086	0.09563207	0.06998289
ALOX15B	0.049477916	0.06038131	0.06115784	0.09849412
KAZN	0.1553883	0.19790581	0.20602942	0.17426606
