gene	stage0	stage1	stage2	stage3
NTM	0.16120733	0.26748922	0.159055	0.20859416
GPC5	0.27803	0.2766792	0.4058557	0.33717433
CFAP299	0.086263984	0.14286976	0.01584626	0.17836934
SCGB1A1	0.110071965	0.65156716	0.24827765	0.6778967
BPIFB1	0.13482817	0.55262876	0.38813475	0.5415991
CPA6	0.3021713	0.5573502	0.22758389	0.33654276
NRG1	0.14308676	0.28032032	0.07880752	0.1439897
TMEM132D	0.070952676	0.3557996	0.020507814	0.26910636
MACROD2	0.25639096	0.30342165	0.10837468	0.20200466
PKN2-AS1	0.05703975	0.39880386	0.14114854	0.098132804
AC004470.2	0.08971038	0.4034458	0.006307236	0.3132405
AGBL4	0.12432089	0.09980356	0.1573821	0.29080486
TNC	0.10174983	0.27057308	0.023352666	0.1213996
LRRK2	0.27836567	0.28853783	0.18120456	0.23050715
PTPRT	0.104011044	0.19092976	0.42714533	0.237689
PCSK2	0.050222237	0.0	0.049334824	0.03571236
EREG	0.055122282	0.34432474	0.008393704	0.21507935
DNAH12	0.10097591	0.23188089	0.23878098	0.33715636
AGBL1	0.08867093	0.18184417	0.22352152	0.0747552
NCKAP5	0.17499065	0.12448945	0.06350519	0.0944648
NELL1	0.00150307	0.0	0.009851922	0.04221603
CCDC141	0.15433118	0.08196866	0.090469174	0.12946826
SCGB3A1	0.108035825	0.62618876	0.3705378	0.48981154
MGC27382	0.07916011	0.19713624	0.060466144	0.13613984
SFTPC	0.23815599	0.1852988	0.14633015	0.31056258
RIMS1	0.08692193	0.10488156	0.17857	0.33154935
TP63	0.30847687	0.557248	0.20085466	0.27129528
ELN	0.09844077	0.30472618	0.21099986	0.30345136
RP1	0.1347021	0.23552173	0.1259549	0.26117924
TMEM163	0.10295793	0.09541201	0.07603101	0.121138535
ZNF385B	0.3221447	0.36218965	0.1765056	0.2076544
AC112770.1	0.057585437	0.117672585	0.028959136	0.08298571
KCNQ5	0.15578187	0.17587228	0.032628674	0.23305689
DLGAP1	0.0829279	0.23118012	0.10335387	0.10920323
SERPINE1	0.09612213	0.26514688	0.32631096	0.20164144
CDH2	0.05848064	0.050855856	0.038322087	0.15477784
DNAH9	0.09477886	0.31478432	0.0717876	0.25201
SCEL	0.2502306	0.1627932	0.025977997	0.09550912
LRRIQ1	0.13221624	0.28533885	0.14662519	0.24665447
NEK10	0.05716296	0.1652715	0.16003624	0.24568339
PLD5	0.102050655	0.12419609	0.23212673	0.17793295
HPSE2	0.06704743	0.4356996	0.10130443	0.48356003
FRMD5	0.04478898	0.37615445	0.08792279	0.20901334
AC046195.1	0.07270685	0.47842708	0.06907978	0.023972152
TMEM232	0.11449294	0.25118187	0.123771496	0.23606265
CCL21	2.4654977	3.1258183	2.6344507	2.4407232
IGHD	0.55523014	0.6962395	0.6475658	0.55827606
PRB4	0.053744946	0.3863856	0.37462083	0.07624624
ACOXL	0.17118548	0.20038415	0.09957876	0.08213897
DKK2	0.103012964	0.21845405	0.112696216	0.10755798
LRRTM4	0.050164968	0.112957515	0.10452773	0.11555839
SFTPB	0.19357114	0.15820973	0.14378606	0.18720886
KCNIP4	0.12755662	0.18146594	0.34496352	0.10902752
CEMIP	0.096098095	0.13657613	0.0938555	0.15210205
LINC02388	0.25262102	0.2369348	0.69557935	0.32860404
P3H2	0.2177596	0.26681912	0.10434743	0.21247348
NEAT1	0.5258794	0.4237286	0.56272113	0.3849735
PGC	0.0	0.11889257	0.17982414	0.1501069
SYT14	0.008441548	0.028775081	0.001949677	0.0788209
ZPLD1	0.3008886	0.29903343	0.3414924	0.3908846
CMAHP	0.1809021	0.13363034	0.102630414	0.18047473
LINC01811	0.066251256	0.03331667	0.00095875905	0.03738351
ITGA2	0.2310258	0.64544994	0.29556772	0.39291844
COL8A1	0.15251367	0.15832077	0.07143074	0.16496347
TTN	0.4600481	0.3973579	0.23285553	0.36849302
SPAG16	0.18656598	0.31939843	0.13835049	0.41388866
CDHR3	0.06468749	0.08555	0.08035934	0.1332071
CPM	0.11976974	0.31705317	0.13246198	0.23630498
PACRG	0.12274021	0.06765055	0.3104057	0.3979224
LYZ	0.302983	0.53756636	0.4372527	0.31280196
ANK3	0.1331731	0.12942891	0.0707489	0.11502575
ABCA3	0.14247401	0.016516564	0.08765073	0.16784741
ADAMTSL1	0.21312873	0.46809372	0.40682024	0.17153025
DCDC1	0.06401605	0.23905921	0.12394636	0.20540665
CDC20B	1.6234442e-05	0.0	0.0	0.12594397
KIF26B	0.3668881	0.3252434	0.54426295	0.5698661
LINC02889	0.10917071	0.28608778	0.106481686	0.17073192
GDF15	0.044001546	0.25933066	0.0037683677	0.16990481
MEGF9	0.15315796	0.3249051	0.2785814	0.20352635
ACTG2	0.045145273	0.17909604	7.291059e-05	0.07548039
KHDRBS2	0.25756848	0.32329404	0.081215195	0.22714478
PRB3	0.0260758	0.41581067	0.013772524	0.02961743
SFTPA1	0.14296366	0.07703898	0.120773956	0.29741666
MIR924HG	0.08823261	0.2879605	0.50385815	0.24857205
AC007368.1	0.57992667	1.8318309	0.31175995	0.5340957
PDE4D	0.64656955	0.57455736	0.666936	0.69981635
LINC01705	0.023579448	0.0055301483	0.005202641	0.098408796
CFAP54	0.10215919	0.18827748	0.24027552	0.3238576
TIMP3	0.23155716	0.21507609	0.2905746	0.19270657
DNAH3	0.11146889	0.2089727	0.23686123	0.20372318
SNX25	0.41391075	0.46148703	0.36656886	0.3991145
ROBO2	0.06291361	0.045103103	0.18725608	0.17188573
SLC6A14	0.09378449	0.1608735	0.045711186	0.014922635
VSIG1	0.1788208	0.12694682	0.11592246	0.12419755
ALOX15B	0.0294204	0.004386366	0.054097723	0.08705898
KAZN	0.108196326	0.24621832	0.08965144	0.23170532
STAP1	0.14474358	0.32511303	0.26551607	0.10345412
KCND2	0.1476023	0.19721198	0.15339415	0.18662702
LINC00578	0.050805815	0.25553048	0.18011151	0.24549235
CR2	0.34417853	0.33755746	0.35531768	0.49023488
AC027288.3	0.19259539	0.21563202	0.010731247	0.039769396
ITGB8	0.1925469	0.62587345	0.49990156	0.28287557
SGPP2	0.083002746	0.002509931	0.020865146	0.12961878
STK33	0.13504173	0.2526296	0.113466464	0.37590507
AC009133.1	0.032367453	0.117634684	0.11924041	0.12506203
CASC15	0.17489506	0.7068617	0.3111426	0.44484824
LAMC2	0.15494215	0.32146743	0.10199567	0.1645751
CADM1	0.16709214	0.13483664	0.024914486	0.095667124
HHIP	0.13580817	0.043955863	0.08482187	0.055392668
EYA4	0.14302085	0.30353737	0.3726928	0.10670975
LMNTD1	0.11792591	0.24177496	0.00709883	0.102939524
SLC30A8	0.055602424	0.013767001	0.0056377645	0.01284702
FAM155A	0.543861	0.7714298	0.6626682	0.57762915
VEPH1	0.19789504	0.34855914	0.06613591	0.12966433
CP	0.0048129335	0.07159316	0.103299014	0.34393284
NOL4	0.037710845	0.071669	0.045633715	0.18454786
LINC01937	0.097596064	0.15222608	0.031902406	0.15836312
MUC5B	0.001995936	0.08138561	0.115021266	0.3752473
CHST9	0.04563506	0.22684453	0.08692343	0.29419887
RTKN2	0.21975806	0.2221872	0.12466717	0.02321364
TRIM5	0.0046629743	4.0585433e-06	0.19283225	0.15283181
ERICH3	0.051684514	0.34268752	0.041840814	0.21018834
CFAP46	0.04839977	0.07798364	0.0013436481	0.3428465
GPRC5D-AS1	0.17224117	0.32533213	0.36804914	0.17302015
MUC5AC	0.015859107	0.06141595	0.023034884	0.31509775
DMBT1	0.03616724	0.3672364	0.04892623	0.22363658
LINC01170	0.14413759	0.3416644	0.14937483	0.27952138
RELN	6.367544	7.01565	6.6074586	5.966688
LANCL1-AS1	0.043679014	0.099692285	0.116454475	0.127608
DNAH11	0.11403406	0.14890344	0.06282198	0.21614365
ATP11A	0.2807219	0.4145833	0.24714391	0.30733147
ZNF385D	0.87786317	0.8189041	1.1805176	1.1444658
MACC1	0.12189112	0.4446348	0.082307495	0.14897783
AL445584.2	0.035307843	0.2836748	0.0	0.35854292
TMEM164	0.2599953	0.3151716	0.13555138	0.18814844
AC083837.1	0.6413266	0.4808117	0.66731745	0.43716624
HYDIN	0.004583921	0.2148213	0.035059463	0.1439344
SFTPA2	0.23388334	0.35951078	0.12119542	0.26318583
SLC5A8	0.0	0.06922845	0.048737425	0.034775965
BPIFA1	0.12882441	0.2868339	0.2448449	0.27706352
CACNA1A	0.17142087	0.2515784	0.19348931	0.062019423
MYO16	0.087978326	0.11984927	0.123616084	0.113918684
CFAP47	0.1215633	0.088098645	0.002240564	0.28964347
CUX2	0.05402875	0.2196285	0.009940586	0.16980769
AHR	0.2416168	0.24091943	0.364373	0.43369487
PDZRN4	0.5230498	0.4337969	0.44220418	0.54749525
RAB27B	0.0032539035	0.21014845	0.1605476	0.07112734
ANKFN1	0.060579725	0.14755152	0.056480944	0.18467936
ADARB2	0.00569777	0.0013291031	0.0	0.09390086
GRM7	0.00080612756	0.1951322	0.050351717	0.14702505
COL25A1	0.036086183	0.28083673	0.0022880405	0.3365342
AL357507.1	2.8477426	3.2065728	3.5662568	3.138462
TTC29	0.06801285	0.20768164	0.11312729	0.1287855
CXCL10	0.05568807	0.007484657	0.0008350612	0.004745532
DGKI	0.13324934	0.27418563	0.080548055	0.18814285
WDR49	0.11601732	0.552698	0.14988986	0.3474945
DNAH7	0.10380583	0.45018062	0.10627831	0.21223207
PTGFR	0.11022121	0.21626234	0.2314686	0.1263357
ANKRD1	0.10531031	0.009506568	0.21776816	0.04175962
SLC39A8	0.24885727	0.17370011	0.08902446	0.14796348
GPC6	0.16363066	0.20945467	0.23987326	0.263435
SLC4A4	0.059650138	0.47606328	0.22782043	0.35008332
SLC26A4	0.16669852	0.20833333	0.14175974	0.16228412
ITGA11	0.006488402	0.0012766247	0.18664981	0.091501646
CD38	0.07916921	0.16804945	0.16351466	0.08755695
COL1A1	0.06506185	0.3949537	0.3270398	0.8208072
WIF1	0.10022319	0.2339033	0.0416897	0.1521457
XKR4	0.060928863	0.14583834	0.0028712074	0.109325476
AC109466.1	0.05537756	0.013603397	0.009433829	0.006
MIR100HG	0.18661058	0.3074473	0.23401198	0.2986933
POSTN	0.12167191	0.27760473	0.26299426	0.33605763
FGF13	1.5253091	1.0664448	1.2511237	0.8725478
PEBP4	0.12812749	0.17781757	0.052006345	0.09562919
FGF14	0.035384115	0.36216387	0.11055803	0.22683164
PAPPA2	0.0	0.00620229	0.0	0.05943592
CLIC5	0.1081322	0.0988233	0.044423677	0.047834434
SLC35F3	0.008827105	0.3965793	0.09668237	0.13579102
EGFEM1P	0.0582788	0.06209521	0.062020388	0.17467172
AC117453.1	0.012674382	0.015278104	0.006654277	0.107346766
HMGA2	0.005925329	0.026560098	0.0	0.16045097
ALPL	0.03896585	0.06748765	0.036290146	0.0878777
AC130456.2	0.043817446	0.118391134	0.12288349	0.02563917
CDH6	0.04476207	0.0030799734	0.15415888	0.09417912
PAPPA	0.06290067	0.23480217	0.23269631	0.15557335
CXCL9	0.015900856	0.07308609	0.015967663	0.012748757
NRG3	0.46356073	0.68847156	0.8064493	0.498346
AL138701.2	1.1144776	0.46639338	1.0682484	1.2407823
SHROOM3	0.119781636	0.2746465	0.12305669	0.15400304
MYH11	0.12332981	0.23553498	0.1626982	0.18897937
GRK3	0.08140383	0.37498525	0.011623076	0.27637032
RALYL	0.120687686	0.1380032	0.186229	0.08880247
MROH9	0.007984573	0.0025180082	0.11032437	0.15089366
ENPP1	0.07360023	0.3475959	0.26689893	0.065787375
FN1	0.52745825	0.57304674	0.6700374	0.7459938
