gene	stage0	stage1	stage2	stage3
NTM	0.18693331	0.2374568	0.20151137	0.20152763
GPC5	0.122351505	0.20448998	0.1051629	0.1324295
CFAP299	0.15170653	0.22029576	0.16167608	0.19405243
SCGB1A1	0.20118794	0.5140972	0.3329684	0.3652908
BPIFB1	0.09446035	0.32684594	0.2856418	0.43148005
CPA6	0.02995819	0.15064985	0.08968188	0.1873446
NRG1	0.18262658	0.21837184	0.19827217	0.24445447
TMEM132D	0.029686695	0.06788273	0.10639739	0.2160572
MACROD2	0.39838925	0.37719375	0.36838686	0.34461063
PKN2-AS1	0.50020266	0.740832	0.72968423	0.432607
AC004470.2	0.09848637	0.17120099	0.15594909	0.19046305
AGBL4	0.14001983	0.17827061	0.12807944	0.19292895
TNC	0.8514251	0.8341502	0.6825618	0.7262234
LRRK2	0.26224622	0.2619674	0.19229382	0.19780046
PTPRT	0.10842988	0.15036881	0.1420958	0.18628338
PCSK2	0.10143338	0.09967839	0.053215966	0.08593647
EREG	0.027213331	0.21121925	0.065005556	0.091326796
DNAH12	0.16535504	0.19285122	0.17361274	0.23205575
AGBL1	0.165182	0.16149125	0.19045754	0.12499568
NCKAP5	0.3229467	0.24537328	0.23826072	0.18968865
NELL1	0.06337315	0.07510334	0.08682269	0.15290155
CCDC141	0.11723799	0.17853302	0.12650433	0.10152012
SCGB3A1	0.20693102	0.50733125	0.30627203	0.3616904
MGC27382	0.08764984	0.16760391	0.12679146	0.10269832
SFTPC	0.33824775	0.2948672	0.21966773	0.21623209
RIMS1	0.0820491	0.12391843	0.12724197	0.21679157
TP63	0.11516136	0.30350143	0.24971637	0.31209838
ELN	0.86290765	0.81584144	0.9572167	1.1726192
RP1	0.17574023	0.20150104	0.14957027	0.2031053
TMEM163	0.13187337	0.15654202	0.10195822	0.14133981
ZNF385B	0.16678318	0.21035269	0.13118237	0.13265163
AC112770.1	0.016284937	0.07306455	0.10308264	0.152465
KCNQ5	0.26443532	0.28875467	0.29227883	0.4158386
DLGAP1	0.95598996	0.7039231	0.6177762	0.3528501
SERPINE1	0.4420752	1.0219522	0.9278803	1.1941093
CDH2	0.0252871	0.0828851	0.111385815	0.36407903
DNAH9	0.14431357	0.16489878	0.16291226	0.17496963
SCEL	0.20978348	0.21632023	0.1418337	0.11350077
LRRIQ1	0.11680479	0.18070269	0.17887332	0.21650423
