gene	stage0	stage1	stage2	stage3
NTM	0.1279535	0.21985066	0.13485289	0.119623885
GPC5	0.14245258	0.15332147	0.07227544	0.17653024
CFAP299	0.12641285	0.28848216	0.106995694	0.23686747
SCGB1A1	0.19044045	0.37374926	0.26811427	0.3838659
BPIFB1	0.15395707	0.52830595	0.3362926	0.46148205
CPA6	0.017779825	0.20505619	0.090322666	0.29749417
NRG1	0.16524048	0.20559743	0.150694	0.3241905
TMEM132D	0.050588246	0.12172907	0.17453074	0.25544262
MACROD2	0.2575865	0.24255678	0.25643647	0.20414646
PKN2-AS1	0.23007578	0.44277596	0.14680709	0.21198666
AC004470.2	0.11008012	0.28097233	0.01065401	0.20708674
AGBL4	0.14230925	0.3094391	0.18364154	0.2255823
TNC	0.08739103	0.27916744	0.17260303	0.3272313
LRRK2	0.22852327	0.20818436	0.15760757	0.22522962
PTPRT	0.10907006	0.19595128	0.091000356	0.17982027
PCSK2	0.11554589	0.08333284	0.08278345	0.09395594
EREG	0.044204812	0.15311477	0.06389719	0.14792863
DNAH12	0.08834169	0.29634786	0.15897083	0.25212032
AGBL1	0.20539168	0.22424464	0.1660467	0.1319809
NCKAP5	0.2125777	0.24497248	0.21195966	0.21564344
NELL1	0.07937743	0.16680296	0.006272455	0.1259113
CCDC141	0.15245587	0.18501432	0.134529	0.1167015
SCGB3A1	0.14747329	0.45569006	0.20360994	0.3452382
MGC27382	0.1043491	0.23531757	0.07297327	0.13893963
SFTPC	0.24264963	0.16076325	0.13823998	0.19639245
RIMS1	0.27382132	0.33655298	0.10227826	0.2541042
TP63	0.052102413	0.3557932	0.20994605	0.28222662
ELN	0.1850196	0.2911074	0.19561796	0.34356213
RP1	0.15438391	0.2967396	0.13158827	0.25149155
TMEM163	0.11190729	0.21068582	0.07841609	0.16839138
ZNF385B	0.16748905	0.16758572	0.081674404	0.13570574
AC112770.1	0.12983438	0.071954384	0.09425765	0.13536206
KCNQ5	0.074996844	0.27732918	0.13630411	0.40442988
DLGAP1	0.104698285	0.25134224	0.15314007	0.13917992
SERPINE1	0.18858883	0.56233627	0.18755355	0.40898275
CDH2	0.025355812	0.12636141	0.07463997	0.39764425
DNAH9	0.08874046	0.29201016	0.120752394	0.1963419
SCEL	0.24650045	0.232523	0.08867536	0.1367373
LRRIQ1	0.109427616	0.28202003	0.18308751	0.23893937
NEK10	0.11297593	0.24365936	0.25366628	0.2458346
PLD5	0.08506344	0.22470324	0.2146441	0.2998127
HPSE2	0.060182564	0.4790719	0.20161286	0.4032604
