gene	stage0	stage1	stage2	stage3
NTM	0.1869305	0.22847044	0.2182662	0.15665875
GPC5	0.12256386	0.21162274	0.15531638	0.15910773
CFAP299	0.146226	0.23626086	0.24610437	0.24205206
SCGB1A1	0.19609249	0.53784394	0.33125594	0.34425345
BPIFB1	0.084766366	0.31816828	0.39333057	0.48857102
CPA6	0.03021352	0.16020744	0.10608864	0.22031443
NRG1	0.18023479	0.22076108	0.23143359	0.24828155
TMEM132D	0.027209261	0.09828071	0.09870147	0.18186802
MACROD2	0.39709485	0.36369407	0.37295017	0.3025724
PKN2-AS1	0.5175284	0.8152577	0.78704184	0.5984826
AC004470.2	0.099049464	0.13154806	0.20525002	0.16163944
AGBL4	0.13242714	0.1757952	0.20617485	0.21589155
TNC	0.87530977	0.8812046	0.71013004	0.68402654
LRRK2	0.26419297	0.27416086	0.22571695	0.21230005
PTPRT	0.110501476	0.1583615	0.22804292	0.20896177
PCSK2	0.09689162	0.09246987	0.066089	0.05976592
EREG	0.027871586	0.20935597	0.11659574	0.084700994
DNAH12	0.17065637	0.19861741	0.28267387	0.26115555
AGBL1	0.16530737	0.17107454	0.21354227	0.14526221
NCKAP5	0.3279622	0.26819795	0.25235274	0.18864496
NELL1	0.06501549	0.06514703	0.10690769	0.15477633
CCDC141	0.11614213	0.1893352	0.17658271	0.12985463
SCGB3A1	0.19815911	0.513783	0.32533836	0.33239406
MGC27382	0.08447265	0.17963427	0.15202858	0.11904619
SFTPC	0.33742836	0.30705374	0.243499	0.2679132
RIMS1	0.07962933	0.12764359	0.2514635	0.18721044
TP63	0.118520625	0.32088143	0.29077598	0.31107685
ELN	0.8632318	0.80118513	0.79395586	0.90497714
RP1	0.16705413	0.2065109	0.2555695	0.2293818
TMEM163	0.13105114	0.15916806	0.14259855	0.15562579
ZNF385B	0.16107391	0.20858735	0.17332403	0.12872879
AC112770.1	0.016313456	0.07226749	0.1740102	0.13948084
KCNQ5	0.26362148	0.26121426	0.25600204	0.30179653
DLGAP1	0.98271275	0.8206917	0.75750357	0.51861674
SERPINE1	0.43023798	0.8703341	0.80156636	0.97164035
CDH2	0.024853615	0.06451084	0.05604891	0.25650716
DNAH9	0.14583689	0.16873252	0.17446525	0.19700122
SCEL	0.2126949	0.2293045	0.19139488	0.11396185
LRRIQ1	0.110308714	0.1910666	0.25829598	0.26922348
NEK10	0.115517356	0.18978418	0.20937924	0.24274279
PLD5	0.067310475	0.11830954	0.065102376	0.28087607
HPSE2	0.33748797	0.822529	0.7830291	1.1094259
FRMD5	0.03379195	0.19785951	0.11124599	0.19787377
AC046195.1	0.12510596	0.14808957	0.15590705	0.08536514
TMEM232	0.18280654	0.27384424	0.31992802	0.23824228
CCL21	0.044965975	0.07486977	0.08679539	0.13168038
IGHD	0.055945028	0.120755	0.058451235	0.07604824
PRB4	0.01802183	0.41827133	0.8686717	0.029361458
ACOXL	0.2296987	0.15317996	0.14826417	0.13431713
DKK2	0.05056457	0.1446158	0.101314984	0.094193555
LRRTM4	0.09734624	0.19078614	0.20316905	0.11435655
SFTPB	0.13862501	0.121388346	0.13286583	0.09730055
KCNIP4	0.1504396	0.15486674	0.14285931	0.13363706
CEMIP	0.18418798	0.25084686	0.30710077	0.43658543
LINC02388	0.0936349	0.14261077	0.27178434	0.24172045
P3H2	0.11314215	0.16294524	0.13932644	0.09143751
NEAT1	0.17994928	0.11598584	0.112024896	0.10138529
PGC	0.084722914	0.13340786	0.12560143	0.21560593
SYT14	0.048583023	0.06880319	0.09446738	0.20456843
ZPLD1	0.07405855	0.14583571	0.057617754	0.16858971
CMAHP	0.30134577	0.42918652	0.39566705	0.32606444
LINC01811	0.10217158	0.037406947	0.10719452	0.046500664
ITGA2	0.2605242	0.50482744	0.6380725	0.6594918
COL8A1	0.2580667	0.41368863	0.34442565	0.34804407
TTN	0.23898458	0.2825685	0.25019285	0.15119956
SPAG16	0.16640185	0.2540855	0.30897877	0.3064873
CDHR3	0.14462957	0.22867286	0.20810752	0.20440203
CPM	0.21235834	0.22250572	0.21778707	0.21552669
PACRG	0.10837966	0.15534729	0.26193598	0.1947664
LYZ	0.12847988	0.5277916	0.5745352	0.19404142
ANK3	0.16103946	0.18481755	0.16005172	0.14114937
ABCA3	0.14655462	0.13893445	0.14203231	0.1039143
ADAMTSL1	0.086279154	0.23237036	0.3095853	0.29196176
DCDC1	0.105206564	0.17186816	0.28936803	0.20891732
CDC20B	0.03769152	0.028088477	0.08831056	0.06452883
KIF26B	0.3709716	0.51525974	0.3578578	0.8090792
LINC02889	0.10980018	0.2425585	0.15305704	0.19744928
GDF15	0.024363905	0.15029539	0.13680528	0.12048071
