gene	stage0	stage1	stage2	stage3
NTM	0.23768505	0.25719708	0.22387443	0.23637466
GPC5	0.104792155	0.14775962	0.057488564	0.092580654
CFAP299	0.16969648	0.21824928	0.092476785	0.1692641
SCGB1A1	0.22824447	0.3315587	0.2592448	0.3275147
BPIFB1	0.2241145	0.443816	0.21453561	0.35542145
CPA6	0.082216166	0.18611723	0.055406485	0.17777257
NRG1	0.2261718	0.27625865	0.13809986	0.27971563
TMEM132D	0.11946741	0.047612537	0.08052256	0.23413569
MACROD2	0.31198746	0.33901775	0.34942243	0.30891272
PKN2-AS1	0.24575938	0.65551585	0.42657536	0.30862793
AC004470.2	0.21792811	0.32963756	0.16033821	0.2768872
AGBL4	0.15511383	0.20705055	0.09694291	0.20249254
TNC	0.3660262	0.64198107	0.46850112	0.60089225
LRRK2	0.17207138	0.1728604	0.16687877	0.17486031
PTPRT	0.07749576	0.13469943	0.100676484	0.15823407
PCSK2	0.1510595	0.14847493	0.03914358	0.0873184
EREG	0.031505276	0.29507625	0.048424333	0.08744172
DNAH12	0.15797488	0.2913729	0.11277316	0.2364514
AGBL1	0.16558577	0.2091373	0.120304085	0.11476504
NCKAP5	0.15980361	0.15273307	0.1959104	0.17610691
NELL1	0.0622838	0.12546904	0.11912992	0.17415364
CCDC141	0.128112	0.113264	0.06694458	0.10684482
SCGB3A1	0.38806352	0.40323007	0.297919	0.4250703
MGC27382	0.14984974	0.16211964	0.076396294	0.11165319
SFTPC	0.27646416	0.1880893	0.14419681	0.16028583
RIMS1	0.14538257	0.21671955	0.09613615	0.19426031
TP63	0.12539937	0.3326005	0.18306991	0.32934082
ELN	1.1453935	0.7716696	1.270412	1.426157
RP1	0.19029471	0.21428439	0.09886269	0.20941894
TMEM163	0.12580447	0.16364628	0.06381056	0.12783644
ZNF385B	0.27419826	0.19137494	0.14864948	0.17820938
AC112770.1	0.040599596	0.051835403	0.06829391	0.17797858
KCNQ5	0.43183464	0.4268224	0.36255378	0.39445135
DLGAP1	0.21852113	0.36708373	0.2415844	0.1974497
