gene	stage0	stage1	stage2	stage3
NTM	0.15033096	0.22771133	0.14669175	0.14419922
GPC5	0.1054041	0.15934828	0.08315661	0.15398651
CFAP299	0.13353893	0.25268877	0.18176763	0.22339663
SCGB1A1	0.21776168	0.521256	0.34901342	0.35067832
BPIFB1	0.20233305	0.28445995	0.36030245	0.54115456
CPA6	0.04764712	0.088459	0.14937451	0.3661847
NRG1	0.1966607	0.19106126	0.19114986	0.40655833
TMEM132D	0.040609982	0.14880452	0.15564732	0.27772218
MACROD2	0.24233611	0.25297606	0.18781576	0.21927762
PKN2-AS1	0.17992865	0.21494047	0.242006	0.19732228
AC004470.2	0.109499775	0.1487616	0.13743758	0.21366684
AGBL4	0.10664296	0.17861837	0.18940207	0.23778369
TNC	0.09075426	0.24495517	0.1989528	0.31122774
LRRK2	0.17114113	0.23883308	0.16738535	0.18845183
PTPRT	0.12298402	0.1066442	0.13981576	0.25865927
PCSK2	0.14955732	0.08709264	0.057765424	0.11989555
EREG	0.08287464	0.15815786	0.13563053	0.16746172
DNAH12	0.18968695	0.2163235	0.2698944	0.26461756
AGBL1	0.21282043	0.24959332	0.23741628	0.21695122
NCKAP5	0.30011576	0.37786132	0.2887507	0.26101947
NELL1	0.06616881	0.05686535	0.07366313	0.16007182
CCDC141	0.11260975	0.10959843	0.08693299	0.14545812
SCGB3A1	0.1820944	0.51480746	0.39409137	0.33388284
MGC27382	0.11171348	0.15195525	0.11238203	0.19378373
SFTPC	0.25237587	0.15312666	0.2488273	0.22754389
RIMS1	0.28160164	0.16500182	0.26950917	0.3127594
TP63	0.06435009	0.27733263	0.24079944	0.32253134
ELN	0.3184894	0.3304593	0.34554195	0.42107654
RP1	0.1586423	0.18778075	0.18111661	0.2273773
TMEM163	0.1724816	0.21822047	0.13400376	0.18977968
ZNF385B	0.13716254	0.1768072	0.09723821	0.1599876
AC112770.1	0.028931616	0.05444972	0.008866249	0.16461663
KCNQ5	0.16493972	0.17548263	0.23176998	0.48960382
DLGAP1	0.14907925	0.17128694	0.20309359	0.13837601
SERPINE1	0.15111798	0.37835878	0.21981975	0.45552957
CDH2	0.023917258	0.096551836	0.06854945	0.5438079
DNAH9	0.116158664	0.12704918	0.119764775	0.16234648
SCEL	0.21688448	0.2443842	0.15788731	0.16170222
LRRIQ1	0.14300112	0.22445998	0.15513808	0.28399628
NEK10	0.11987405	0.16464642	0.2019236	0.2600596
PLD5	0.042211294	0.10878818	0.12410563	0.43155998
HPSE2	0.17074715	0.33083645	0.37177435	0.61470234
FRMD5	0.03434903	0.21949004	0.1317917	0.3400064
AC046195.1	0.13626534	0.09733635	0.17947428	0.11356011
TMEM232	0.14119485	0.18329659	0.1577891	0.21342304
CCL21	0.1121513	0.24087977	0.10878186	0.1936599
IGHD	0.1237185	0.2977748	0.20198053	0.1347466
PRB4	0.013827015	0.24619797	0.50149655	0.06131411
ACOXL	0.22248548	0.1642378	0.15643674	0.12117764
DKK2	2.9539447	2.365852	1.9281578	1.5823996
LRRTM4	0.07106804	0.09533246	0.14963329	0.10303441
SFTPB	0.16455099	0.12751853	0.22049987	0.12680304
KCNIP4	0.12515235	0.15514934	0.13344927	0.17665511
CEMIP	0.12465599	0.23407197	0.2835584	0.2721279
LINC02388	0.13262522	0.12634003	0.19462588	0.25617692
P3H2	0.14407496	0.14549518	0.10725097	0.13791442
NEAT1	0.31699157	0.1778456	0.2704255	0.15729052
PGC	0.1036438	0.17485955	0.08227734	0.22725195
SYT14	0.047266748	0.057918604	0.08711319	0.25646278
ZPLD1	0.06440581	0.018632926	0.11988739	0.15872611
CMAHP	0.16184966	0.21928948	0.2159363	0.18724759
LINC01811	0.14975484	0.034983657	0.24168302	0.043578397
ITGA2	0.23146963	0.31160522	0.34859967	0.48662782
COL8A1	0.23662871	0.25287023	0.2006154	0.30384016
TTN	0.20783956	0.36032227	0.12169552	0.2034382
SPAG16	0.16060266	0.1867232	0.16599551	0.3039387
CDHR3	0.10601751	0.14725114	0.09553075	0.2274984
CPM	0.27842364	0.24915078	0.21874493	0.29812896
PACRG	0.12523028	0.19922806	0.15210053	0.20209295
LYZ	0.08126513	0.26857305	0.3668893	0.19307655
ANK3	0.17289883	0.19223437	0.19329119	0.17264852
ABCA3	0.18986991	0.13908938	0.09909176	0.134462
ADAMTSL1	0.15643756	0.14553612	0.2243351	0.29287434
DCDC1	0.11183575	0.1630328	0.15600944	0.23868516
CDC20B	0.022395885	0.04006884	0.046238884	0.031389408
KIF26B	0.047871485	0.13449916	0.19545096	0.33981538
LINC02889	0.1541095	0.25103292	0.19583008	0.24545267
GDF15	0.16846384	0.1842437	0.13437414	0.24132442
MEGF9	0.2585964	0.17859283	0.24099624	0.27995926
ACTG2	0.048894674	0.13260822	0.11445449	0.15713361
KHDRBS2	0.21021678	0.27763802	0.26573798	0.19936273
PRB3	0.15826708	0.26653987	0.37638906	0.12561807
SFTPA1	0.27212203	0.3153578	0.15678969	0.24192485
MIR924HG	0.15819395	0.1445652	0.14219414	0.32925722
AC007368.1	0.024645988	0.062187422	0.02119221	0.16334927
PDE4D	0.35301477	0.1856178	0.27384323	0.19178194
LINC01705	0.01603842	0.039066087	0.02121254	0.08521124
CFAP54	0.14766172	0.21500151	0.20987043	0.24001202
TIMP3	0.65705955	0.763599	0.73428786	0.6343882
DNAH3	0.08075783	0.10812764	0.07045591	0.1509537
SNX25	0.22227246	0.2257376	0.1905232	0.2150798
ROBO2	0.17335606	0.24263236	0.1925779	0.2589219
SLC6A14	0.098655686	0.16502059	0.15485984	0.20358555
VSIG1	0.021188298	0.020423625	0.05887262	0.20297462
ALOX15B	0.093877934	0.029868666	0.027262751	0.085663214
KAZN	0.11588046	0.22125807	0.1925934	0.25790018
STAP1	0.017440923	0.037399437	0.10623844	0.09995708
KCND2	0.069798134	0.11639075	0.11235202	0.31547195
LINC00578	0.107957065	0.22351238	0.17805539	0.48052955
CR2	0.014594632	0.016609637	0.014085362	0.03858044
AC027288.3	0.18326028	0.12721173	0.13139032	0.11744729
ITGB8	0.08926937	0.2667988	0.27461535	0.548098
SGPP2	0.07962731	0.101255596	0.06447356	0.19269401
STK33	0.16654281	0.23814438	0.19678962	0.29031506
AC009133.1	0.09617775	0.08888976	0.071557395	0.14064994
CASC15	0.28546688	0.5260299	0.2849905	0.514524
LAMC2	0.123595394	0.067515075	0.14271507	0.17451145
CADM1	0.2098992	0.26021433	0.103540316	0.18178067
HHIP	0.27411875	0.10592904	0.23370302	0.15856463
EYA4	0.11228437	0.21772721	0.20237629	0.20036948
LMNTD1	0.10111536	0.065166555	0.14173597	0.14786045
SLC30A8	0.11850806	0.110324875	0.20684938	0.09289192
FAM155A	0.17091201	0.23225355	0.23802176	0.33037624
VEPH1	0.25121224	0.19981577	0.20231688	0.17170572
CP	0.14696723	0.18730068	0.20825523	0.27441514
NOL4	0.0461579	0.052037127	0.10597917	0.14442533
LINC01937	0.11658663	0.11058068	0.10275208	0.127381
MUC5B	0.04808791	0.10349558	0.29916325	0.3432261
CHST9	0.070613	0.17929474	0.17214856	0.26552373
RTKN2	0.38298795	0.26033002	0.30396774	0.12653399
TRIM5	0.27271062	0.39573005	0.48039553	0.54695356
ERICH3	0.10388688	0.10809462	0.11774123	0.16836043
CFAP46	0.062389247	0.09409162	0.090595365	0.21465102
GPRC5D-AS1	0.16993314	0.24201944	0.28279498	0.18887872
MUC5AC	0.19695833	0.24071965	0.26999947	0.2672835
DMBT1	0.07545942	0.1551552	0.24750525	0.18936768
LINC01170	0.058407832	0.0657597	0.15541728	0.22930849
RELN	0.15470749	0.11308188	0.1293362	0.2877735
LANCL1-AS1	0.1683347	0.053758025	0.11134392	0.103806004
DNAH11	0.14766885	0.2047776	0.12047049	0.24663365
ATP11A	0.25720885	0.3345517	0.23396327	0.24763104
ZNF385D	0.25726065	0.38931072	0.54489434	0.6756257
MACC1	0.10999151	0.22230399	0.12496293	0.35755324
AL445584.2	0.066729076	0.050219662	0.014156798	0.3187792
TMEM164	0.23504885	0.3052566	0.28573	0.31054753
AC083837.1	0.16618988	0.20978574	0.14121509	0.1971916
HYDIN	0.061521024	0.07106788	0.16101736	0.20534985
SFTPA2	0.24043751	0.30130154	0.13910693	0.18429595
SLC5A8	0.04380454	0.12655732	0.10779582	0.1532983
BPIFA1	0.028927382	0.088017076	0.032298546	0.5050671
CACNA1A	0.09816056	0.07075256	0.18341851	0.25017908
MYO16	0.0870907	0.17516054	0.1952386	0.25795695
CFAP47	0.10983599	0.19580804	0.21036145	0.15312016
CUX2	0.017079167	0.049091604	0.058294956	0.25087583
