gene	stage0	stage1	stage2	stage3
NTM	0.21238649	0.2078468	0.10547511	0.05315168
GPC5	0.11843882	0.19774607	0.11789128	0.19799256
CFAP299	0.08117291	0.17676783	0.27612117	0.21569242
SCGB1A1	0.24093121	0.62729657	0.4355677	0.44686118
BPIFB1	0.03874193	0.15856583	0.43606094	0.48481518
CPA6	0.014501303	0.1223042	0.026588898	0.1376122
NRG1	0.11333061	0.17008561	0.20187715	0.10081339
TMEM132D	0.057557303	0.12847513	0.07916251	0.14290985
MACROD2	0.2902412	0.20020056	0.18463793	0.20630862
PKN2-AS1	0.14629969	0.18130998	0.21554364	0.1065366
AC004470.2	0.05722604	0.13490315	0.21582939	0.09946665
AGBL4	0.119744934	0.14390391	0.18100819	0.14836092
TNC	0.041627504	0.21659265	0.21364741	0.11179256
LRRK2	0.26501846	0.26003277	0.13363339	0.240116
PTPRT	0.027296484	0.14214224	0.11527634	0.14090832
PCSK2	0.07335128	0.08484477	0.10978083	0.10959106
EREG	0.062038288	0.041416164	0.09243571	0.02527855
DNAH12	0.0801315	0.17709163	0.27834702	0.21286504
AGBL1	0.16334319	0.1282537	0.16589025	0.09645233
NCKAP5	0.247779	0.4148021	0.31745923	0.33632156
NELL1	0.09159603	0.113700196	0.024822485	0.13234928
CCDC141	0.1088968	0.18049386	0.08004601	0.06276648
SCGB3A1	0.26844147	0.5436543	0.5455324	0.40919054
MGC27382	0.052516427	0.090319484	0.040836036	0.051661342
SFTPC	0.30103594	0.21831426	0.1993588	0.33905327
RIMS1	0.041936878	0.088158734	0.36098143	0.1660825
TP63	0.08348445	0.14825487	0.20950338	0.18438034
ELN	0.21101806	0.28952062	0.21028891	0.33700866
RP1	0.15312879	0.24155095	0.36002553	0.2016654
TMEM163	0.12180863	0.14770162	0.024179786	0.09082838
ZNF385B	0.23851307	0.21730515	0.1801934	0.15742116
AC112770.1	0.0050555826	0.055588696	0.10477306	0.10232396
KCNQ5	0.06328279	0.09524587	0.17238331	0.110778615
DLGAP1	0.056448035	0.20721203	0.17184705	0.047459118
SERPINE1	0.78475	0.8398551	0.8664826	1.2068738
CDH2	0.04573721	0.067563176	0.21937649	0.116551824
DNAH9	0.052793846	0.07247354	0.25271797	0.1440045
SCEL	0.2054318	0.24608427	0.18743624	0.08950231
LRRIQ1	0.12325751	0.18013202	0.34748825	0.22385755
NEK10	0.100261375	0.09456526	0.3790827	0.18455756
PLD5	0.0026884854	0.06375961	0.1493906	0.12521695
HPSE2	0.048708476	0.27986297	0.21606094	0.3022777
FRMD5	0.059933353	0.09867809	0.21241166	0.12227603
AC046195.1	0.05303631	0.14492367	0.033166274	0.06419484
TMEM232	0.125961	0.1595103	0.29367974	0.13884142
CCL21	0.083920226	0.13399158	0.03494002	0.26566407
IGHD	0.20209347	0.16678812	0.54382336	0.17678177
PRB4	0.17761055	0.07990201	1.512999	0.26535565
ACOXL	0.15054865	0.094256595	0.07092474	0.06824318
DKK2	0.04302835	0.094848864	0.032749575	0.038457967
LRRTM4	0.029227555	0.15130398	0.15755498	0.03594927
SFTPB	0.14594257	0.0866582	0.16280657	0.09961649
KCNIP4	0.06853787	0.17704742	0.20508409	0.13754362
CEMIP	0.17799549	0.21512096	0.29923898	0.18002944
LINC02388	0.03616164	0.06524876	0.011566315	0.2749317
P3H2	0.10813157	0.12821463	0.099786505	0.06525174
NEAT1	0.25796196	0.12189239	0.23448333	0.21083063
PGC	0.09298882	0.19806688	0.18974148	0.17766806
SYT14	0.026346168	0.0149700595	0.00087779074	0.079678886
ZPLD1	0.03378372	0.024246637	0.008057186	0.0665735
CMAHP	0.17883016	0.23971806	0.19485684	0.16710202
LINC01811	0.06594556	0.047471765	0.12336008	0.011340937
ITGA2	0.052167833	0.2020045	0.2681472	0.2575802
COL8A1	0.14653946	0.23189704	0.14226902	0.16212705
TTN	0.29341316	0.2758025	0.26441765	0.13770081
SPAG16	0.13146256	0.18419299	0.29352218	0.20547462
CDHR3	0.069240496	0.1431509	0.27179018	0.13176186
CPM	0.3101217	0.26884064	0.17195687	0.2256708
PACRG	0.071945444	0.13000278	0.2609641	0.092402995
LYZ	0.09644421	0.2962056	0.7522228	0.12819356
ANK3	0.20935181	0.22859335	0.25535867	0.19862221
ABCA3	0.18600048	0.1584296	0.09155172	0.12527393
ADAMTSL1	0.030863121	0.11535746	0.15613136	0.13192797
DCDC1	0.04121362	0.12986243	0.21178672	0.07835855
CDC20B	0.025398271	0.0059301388	0.017973647	0.03902784
KIF26B	0.056090698	0.19212313	0.29234892	0.15097661
LINC02889	0.13807939	0.19162354	0.09093142	0.1670603
GDF15	0.09876894	0.20391077	0.30371526	0.177793
MEGF9	0.15653121	0.1827848	0.08838749	0.15025091
ACTG2	0.017549623	0.046050843	0.07092292	0.08021645
KHDRBS2	0.8647088	0.9866946	0.87893385	0.7530505
PRB3	0.25398085	0.21442287	1.8487614	0.2000605
SFTPA1	0.2953916	0.35766336	0.24110125	0.2816632
MIR924HG	0.03354262	0.035901602	0.09210451	0.10445148
AC007368.1	0.0086429855	0.05683	0.009302656	0.031717986
PDE4D	0.21278812	0.073805496	0.09374613	0.13447511
LINC01705	0.020125689	0.00088499533	0.0051382417	0.09999574
CFAP54	0.12443964	0.24451719	0.29245728	0.24962641
TIMP3	0.6953323	0.6039692	0.64562774	0.8132393
DNAH3	0.03315133	0.10884829	0.18934321	0.09618858
SNX25	0.18333812	0.19357568	0.11017969	0.10582026
ROBO2	0.20590767	0.34503496	0.34087956	0.27895072
SLC6A14	0.04555934	0.18838198	0.13758546	0.0861235
VSIG1	0.0241889	0.028671525	0.115344	0.015935302
ALOX15B	0.017101845	0.06284394	0.08950389	0.09096267
KAZN	0.09825927	0.15005064	0.15900122	0.1155074
STAP1	0.055500653	0.025855161	0.010125346	0.082782045
KCND2	0.031293634	0.043271296	0.057701647	0.11673162
LINC00578	0.038688853	0.119813845	0.034061655	0.08362948
CR2	0.01551867	0.0004095971	0.011322249	0.05758205
AC027288.3	0.15197988	0.12960798	0.045713678	0.023766076
ITGB8	0.04007016	0.12464285	0.11494539	0.12944262
SGPP2	0.03614937	0.18694063	0.14548698	0.08982384
STK33	0.126978	0.15859237	0.28517127	0.16773604
AC009133.1	0.017988695	0.04725374	0.05686078	0.15944186
CASC15	0.28853327	0.5272912	0.4829898	0.38593885
LAMC2	0.031969734	0.094940215	0.023773352	0.080399975
CADM1	0.1994327	0.22484444	0.15617245	0.095976785
HHIP	0.11835729	0.048853226	0.0086488705	0.017905071
EYA4	0.043427292	0.12808748	0.21181045	0.12587506
LMNTD1	0.045773834	0.109367564	0.16261898	0.07044696
SLC30A8	0.060032997	0.020643447	0.035040636	0.098365314
FAM155A	0.10031936	0.17235297	0.24917212	0.20770825
