gene	stage0	stage1	stage2	stage3
NTM	0.15271771	0.23931575	0.12049871	0.1326681
GPC5	0.10762096	0.16042104	0.08830127	0.17384548
CFAP299	0.13486142	0.22503342	0.18986905	0.23956063
SCGB1A1	0.22571965	0.49878538	0.35118118	0.38594276
BPIFB1	0.19996256	0.272384	0.39655882	0.5777273
CPA6	0.0496914	0.1138946	0.13900435	0.27901295
NRG1	0.19298601	0.19067723	0.17681694	0.36486298
TMEM132D	0.04349392	0.1610986	0.17813912	0.25423774
MACROD2	0.2365779	0.26026967	0.19128117	0.22719347
PKN2-AS1	0.17505352	0.23394844	0.24335125	0.20236841
AC004470.2	0.0943854	0.17575578	0.16121645	0.214468
AGBL4	0.11607894	0.19631061	0.1748988	0.23177573
TNC	0.0906751	0.23811786	0.21231481	0.31376088
LRRK2	0.16166084	0.21440333	0.1523233	0.21489666
PTPRT	0.12590449	0.10376146	0.106977865	0.24370168
PCSK2	0.15306932	0.07708856	0.048610177	0.11461317
EREG	0.07571852	0.22644748	0.14251958	0.17244065
DNAH12	0.20483771	0.20769146	0.26418456	0.27766705
AGBL1	0.21937484	0.2596853	0.23068683	0.19022611
NCKAP5	0.30506033	0.35802048	0.25297704	0.29029652
NELL1	0.07120004	0.044027533	0.07857368	0.18332368
CCDC141	0.11655074	0.10725842	0.07930459	0.14845513
SCGB3A1	0.18135041	0.50725055	0.41139376	0.3871011
MGC27382	0.13649164	0.12343969	0.120013185	0.16599822
SFTPC	0.24481624	0.15563999	0.26804498	0.23321167
RIMS1	0.29439214	0.18182483	0.24668828	0.3081571
TP63	0.08254626	0.24232636	0.24023092	0.32671434
ELN	0.31425574	0.37981677	0.33583307	0.4371495
RP1	0.16017646	0.19094864	0.21104583	0.2520347
TMEM163	0.17455336	0.20121501	0.14345908	0.2107454
ZNF385B	0.13817878	0.17297357	0.11664453	0.15878695
AC112770.1	0.03488913	0.061756454	0.027541015	0.16272241
KCNQ5	0.17110986	0.19427699	0.24448095	0.4549205
DLGAP1	0.14842866	0.19133727	0.20238948	0.13632007
SERPINE1	0.17534356	0.3689551	0.22859257	0.48449838
CDH2	0.025446422	0.11370381	0.06484499	0.45091447
DNAH9	0.12191215	0.15672101	0.12339778	0.1830792
SCEL	0.21965735	0.23019324	0.16011442	0.17272198
LRRIQ1	0.15168537	0.20540825	0.17407352	0.25408018
NEK10	0.123080306	0.163047	0.16432585	0.24038422
PLD5	0.05314842	0.13133772	0.08473436	0.33497062
HPSE2	0.1705189	0.32915258	0.33329415	0.54133224
FRMD5	0.026617786	0.24294725	0.12370566	0.3421435
AC046195.1	0.13911627	0.102555126	0.18865873	0.12541357
TMEM232	0.16898584	0.20040303	0.13875668	0.22826868
CCL21	0.10791593	0.21840318	0.11790905	0.1852443
IGHD	0.121952824	0.28165883	0.13285893	0.13782519
PRB4	0.016025066	0.26878586	0.46227404	0.0640216
ACOXL	0.20680651	0.1874572	0.15556288	0.118509114
DKK2	2.9151325	2.85905	2.0413725	1.329404
LRRTM4	0.079673715	0.11343438	0.16918896	0.09343469
SFTPB	0.15492432	0.12956809	0.23019603	0.14687628
KCNIP4	0.12636486	0.17141204	0.15424597	0.20913538
CEMIP	0.13111208	0.1943058	0.1987662	0.26953423
LINC02388	0.1425669	0.11246232	0.18587707	0.21944517
P3H2	0.15315928	0.14316909	0.11727594	0.12530264
NEAT1	0.30314344	0.18090452	0.2993892	0.15101346
PGC	0.11177328	0.16717908	0.08262711	0.210855
SYT14	0.04836145	0.06447393	0.09363533	0.22412679
ZPLD1	0.060038712	0.0122529175	0.12007678	0.15833084
CMAHP	0.16436672	0.22157179	0.17309316	0.19391406
LINC01811	0.1504075	0.027344141	0.2597452	0.04704146
ITGA2	0.22767842	0.2926623	0.34477004	0.48940352
COL8A1	0.24233295	0.26106727	0.17903076	0.3021336
TTN	0.21962017	0.3321881	0.14744335	0.21940318
SPAG16	0.1707803	0.17231043	0.16062555	0.2798034
CDHR3	0.10784226	0.14934623	0.10887983	0.2255579
CPM	0.2980272	0.24354151	0.24278636	0.29926986
PACRG	0.13154933	0.17984444	0.15692604	0.19673698
LYZ	0.08908156	0.29567385	0.40264726	0.1897735
ANK3	0.1665697	0.19785619	0.17748433	0.17078382
ABCA3	0.18964286	0.14497907	0.120400116	0.12795535
ADAMTSL1	0.14263625	0.15572466	0.2115719	0.2742358
DCDC1	0.12217159	0.18597138	0.15534239	0.23366581
CDC20B	0.022175295	0.04273163	0.04877498	0.036358956
KIF26B	0.04950501	0.1226559	0.19838259	0.35584456
LINC02889	0.16371249	0.27480802	0.17688979	0.2468702
GDF15	0.15275177	0.19889212	0.12855263	0.2232849
MEGF9	0.2661963	0.20993263	0.24769169	0.2719407
ACTG2	0.05245485	0.09288843	0.11999823	0.22231728
KHDRBS2	0.218245	0.28785315	0.26701748	0.23986644
PRB3	0.16098256	0.31611657	0.5327457	0.10474472
SFTPA1	0.2746544	0.32137418	0.14599842	0.23450491
MIR924HG	0.13736929	0.198867	0.15098092	0.2858938
AC007368.1	0.022144713	0.048345428	0.022861537	0.17064668
PDE4D	0.32871404	0.20233119	0.28589305	0.1767506
LINC01705	0.013219802	0.039151214	0.02159752	0.06706324
CFAP54	0.16863406	0.21184938	0.21056566	0.23346564
TIMP3	0.66233695	0.7293961	0.71814257	0.6836791
DNAH3	0.07855978	0.1084583	0.10771657	0.17780629
SNX25	0.23331717	0.21716239	0.16805154	0.20151408
ROBO2	0.1879248	0.23864283	0.17582567	0.2701216
SLC6A14	0.092309035	0.15074514	0.16104859	0.19630969
VSIG1	0.021187808	0.021985414	0.055341534	0.16134894
ALOX15B	0.0946815	0.03809069	0.03694076	0.08100919
KAZN	0.11511503	0.16625793	0.18763244	0.2712192
STAP1	0.017357705	0.036167603	0.061529353	0.10379909
KCND2	0.08384248	0.15011106	0.09969325	0.26570386
LINC00578	0.11650899	0.251174	0.20797598	0.44196513
CR2	0.014456477	0.018191192	0.018675253	0.031731725
AC027288.3	0.21018417	0.16105424	0.15076767	0.11601505
ITGB8	0.101768024	0.2811266	0.2712551	0.46293327
SGPP2	0.08635437	0.1029951	0.07775609	0.17194727
STK33	0.15733376	0.22934984	0.21034127	0.2917012
AC009133.1	0.09039941	0.10474189	0.075206645	0.15741351
CASC15	0.30241433	0.5160765	0.29969305	0.47819054
LAMC2	0.12572469	0.06913932	0.1089891	0.19979256
CADM1	0.22531338	0.273828	0.11166671	0.1936076
HHIP	0.29476598	0.1116446	0.24992599	0.13655074
EYA4	0.116807796	0.19045177	0.22295609	0.19166413
LMNTD1	0.11359225	0.08008795	0.14717484	0.17323193
SLC30A8	0.12105622	0.12532204	0.19864254	0.073853806
FAM155A	0.1759094	0.18371637	0.18903993	0.3236484
VEPH1	0.26747414	0.19637693	0.20306586	0.13902098
CP	0.15514886	0.2237288	0.23467392	0.29984888
NOL4	0.04540274	0.06514529	0.1161793	0.12678474
LINC01937	0.12779559	0.11143265	0.11652038	0.13178493
MUC5B	0.042416893	0.109532155	0.37934256	0.33683962
CHST9	0.079523444	0.18817088	0.19258392	0.27234995
RTKN2	0.38624552	0.24950399	0.27623692	0.12739515
TRIM5	0.2874634	0.35999116	0.4067456	0.41963574
ERICH3	0.102963135	0.097032465	0.14574161	0.1360691
CFAP46	0.06781887	0.11597253	0.08585992	0.1798214
GPRC5D-AS1	0.17664357	0.25917715	0.27971682	0.21709906
MUC5AC	0.19625282	0.25548497	0.27475488	0.25820976
DMBT1	0.06949784	0.17723526	0.23295555	0.18575743
LINC01170	0.06317092	0.0635527	0.13313524	0.1631347
RELN	0.14869325	0.12833643	0.1376875	0.23998491
LANCL1-AS1	0.16933496	0.035197996	0.124983326	0.088872656
DNAH11	0.14911556	0.19169109	0.11950702	0.21617188
ATP11A	0.26428106	0.29048604	0.2294724	0.2504357
ZNF385D	0.258542	0.38373843	0.57750833	0.65077376
MACC1	0.122766845	0.2258437	0.09787015	0.3230972
AL445584.2	0.08410748	0.05723295	0.014291396	0.24085441
TMEM164	0.2461867	0.3172553	0.31628555	0.29302436
AC083837.1	0.17348237	0.20729724	0.16492984	0.2539108
HYDIN	0.06967658	0.07102897	0.16709341	0.19543236
SFTPA2	0.25172365	0.3109795	0.12379491	0.18221831
SLC5A8	0.040316585	0.1428271	0.14842494	0.14421904
BPIFA1	0.033894453	0.12661548	0.03181691	0.46526122
CACNA1A	0.091174126	0.05456725	0.10377142	0.27761227
MYO16	0.08117641	0.18528049	0.19038382	0.2270737
CFAP47	0.10886545	0.20113377	0.1853733	0.1844724
CUX2	0.01709041	0.054288566	0.08323655	0.20745847
AHR	0.3024844	0.28424823	0.38264614	0.4862718
PDZRN4	0.46350667	0.3634036	0.4047448	0.24277183
RAB27B	0.116501674	0.09949611	0.13096759	0.22706005
ANKFN1	0.09515932	0.12253945	0.093512826	0.20362526
ADARB2	0.11246842	0.04570043	0.13436462	0.18032597
GRM7	0.0765061	0.06424776	0.09181588	0.20009132
COL25A1	0.13470028	0.1813767	0.16516015	0.358756
AL357507.1	0.108223595	0.16800362	0.37995797	0.25571397
TTC29	0.1064406	0.12990956	0.11002299	0.13205111
CXCL10	0.018703774	0.033035584	0.05599884	0.0899714
DGKI	0.12558803	0.14602782	0.15475169	0.23365673
WDR49	0.2255118	0.23358497	0.2506045	0.3154182
DNAH7	0.11631333	0.24270317	0.15936047	0.21541563
PTGFR	0.12233395	0.07597559	0.15062134	0.15946095
ANKRD1	0.23184834	0.0215809	0.24610251	0.06956974
SLC39A8	0.34414765	0.19698988	0.26457652	0.17349485
GPC6	0.1633003	0.19175778	0.28619996	0.4570633
SLC4A4	0.17057551	0.22638837	0.16296425	0.32147652
SLC26A4	0.058250383	0.10722237	0.11975604	0.13017096
ITGA11	0.048538014	0.06454507	0.062386833	0.18194321
CD38	0.06900206	0.11991748	0.1840722	0.18408048
COL1A1	0.045721773	0.16895524	0.29850388	0.5082241
WIF1	0.19263971	0.19269586	0.21843794	0.19156179
XKR4	0.04491536	0.04207091	0.10396254	0.16435044
AC109466.1	0.04353674	0.089495584	0.15111336	0.13888504
MIR100HG	0.12894315	0.2216019	0.22508809	0.34729904
POSTN	0.2363908	0.25504825	0.32229102	0.49130678
FGF13	0.04202899	0.19815108	0.14281204	0.21677533
PEBP4	0.1815655	0.0846994	0.11500578	0.11087587
FGF14	0.17286728	0.300571	0.24070284	0.3320502
PAPPA2	0.18415119	0.21847424	0.224453	0.09994203
CLIC5	0.13545363	0.21985956	0.20135015	0.16000004
SLC35F3	0.05932853	0.08636742	0.07703857	0.22139853
EGFEM1P	0.07515749	0.2172054	0.224629	0.24836336
AC117453.1	0.05427548	0.12051322	0.10051074	0.19919544
HMGA2	0.052678507	0.13558829	0.06625579	0.2184771
ALPL	0.119014636	0.12607187	0.14416096	0.1549485
