gene	stage0	stage1	stage2	stage3
NTM	0.17847927	0.2313738	0.2153152	0.19285524
GPC5	0.1430169	0.20847584	0.13096106	0.13010792
CFAP299	0.15345253	0.21807085	0.20764807	0.19700722
SCGB1A1	0.18642873	0.53179365	0.31495568	0.3636167
BPIFB1	0.12935933	0.34580928	0.3398913	0.45526817
CPA6	0.07082999	0.16177844	0.089625195	0.18758881
NRG1	0.21909064	0.22918741	0.19839185	0.23623317
TMEM132D	0.05060977	0.07936248	0.097841345	0.18162227
MACROD2	0.3251149	0.36205742	0.37110412	0.31172708
PKN2-AS1	0.55061185	0.7344819	0.69616574	0.39973223
AC004470.2	0.12893485	0.16468409	0.19499026	0.22056802
AGBL4	0.16459484	0.17998451	0.17964303	0.19530225
TNC	0.9440372	0.80064106	0.6594151	0.59698707
LRRK2	0.17790253	0.25092918	0.21088593	0.20479494
PTPRT	0.12287704	0.14939606	0.19596311	0.17101985
PCSK2	0.14890723	0.09512451	0.054587193	0.076558515
EREG	0.030491177	0.25659978	0.09621753	0.07408621
DNAH12	0.18692106	0.20465687	0.23384856	0.23703003
AGBL1	0.21178766	0.17466378	0.17320883	0.1239989
NCKAP5	0.3259521	0.23956305	0.2397734	0.16651678
NELL1	0.05977806	0.08234444	0.1072912	0.14766781
CCDC141	0.1394555	0.1739454	0.14963631	0.10218694
SCGB3A1	0.21937002	0.53374493	0.3175586	0.39188707
MGC27382	0.12985237	0.16862933	0.12927176	0.09865271
SFTPC	0.2848489	0.32184762	0.22073261	0.21793132
RIMS1	0.1330676	0.14009792	0.21380892	0.1832167
TP63	0.13773963	0.2956681	0.25729775	0.301867
ELN	0.8951388	0.77384484	0.90718836	1.179927
RP1	0.19417138	0.19651884	0.20970063	0.21394114
TMEM163	0.13583037	0.15572527	0.12081535	0.14090338
ZNF385B	0.147265	0.20149496	0.165256	0.15339123
AC112770.1	0.024000967	0.06652371	0.15678772	0.16073014
KCNQ5	0.37150168	0.2818411	0.28463066	0.3099245
DLGAP1	1.0833523	0.6753227	0.62641144	0.31852546
SERPINE1	0.45339477	1.0248153	0.94120586	1.2433676
CDH2	0.025204109	0.08596664	0.08904667	0.34914136
DNAH9	0.20149499	0.16654843	0.15766878	0.17303862
SCEL	0.22667378	0.2154726	0.16820441	0.12615441
LRRIQ1	0.13623941	0.17656527	0.2251005	0.20670767
NEK10	0.150355	0.1562702	0.18568313	0.1957038
PLD5	0.08139568	0.122988835	0.07815123	0.2454379
HPSE2	0.3620186	0.9181361	0.83759594	1.0256933
FRMD5	0.07383907	0.2049792	0.113492474	0.19235362
AC046195.1	0.14307478	0.14029796	0.123709455	0.064555
TMEM232	0.22121075	0.26252785	0.2843477	0.24396284
CCL21	0.05274003	0.07664218	0.092025384	0.11003488
IGHD	0.042210724	0.12685336	0.071086675	0.05752158
PRB4	0.015656488	0.40306512	0.71394527	0.022437299
ACOXL	0.24638693	0.14168629	0.14094974	0.10849496
DKK2	0.090441674	0.15458032	0.08539664	0.078614645
LRRTM4	0.13336134	0.2106862	0.21123788	0.16586421
SFTPB	0.08016379	0.13095841	0.13293007	0.101202786
KCNIP4	0.1587846	0.13786682	0.13239004	0.1735117
CEMIP	0.24053805	0.2800153	0.3709087	0.39393878
LINC02388	0.11647846	0.16446596	0.2786358	0.34076473
P3H2	0.16086446	0.16228186	0.12252264	0.080777705
NEAT1	0.10654395	0.14339045	0.15048875	0.1731752
PGC	0.13052586	0.120017804	0.110487685	0.1590402
SYT14	0.029182833	0.08757968	0.1491819	0.30016598
ZPLD1	0.0717626	0.10589999	0.058972016	0.12753327
CMAHP	0.34446445	0.4241266	0.38052678	0.3260538
LINC01811	0.17771828	0.05465801	0.10305529	0.034115914
ITGA2	0.3315228	0.47330466	0.5742731	0.6325987
COL8A1	0.29300848	0.43948138	0.4025334	0.49867857
TTN	0.27666616	0.27302036	0.21022189	0.13857053
SPAG16	0.2209891	0.26269752	0.2855692	0.3015829
CDHR3	0.17815326	0.22929665	0.18564044	0.18021671
CPM	0.26178923	0.22111028	0.20755313	0.1935659
PACRG	0.15754078	0.15123817	0.23035038	0.17654048
LYZ	0.14052422	0.5185294	0.51039284	0.18394732
ANK3	0.121286325	0.18314847	0.1649131	0.1473307
ABCA3	0.17862183	0.1317299	0.1322741	0.07209858
ADAMTSL1	0.09094915	0.2678653	0.29691797	0.36027208
DCDC1	0.12960635	0.18985562	0.22728148	0.1893863
CDC20B	0.0651272	0.028547348	0.07771821	0.057422172
KIF26B	0.4768267	0.7094343	0.51703316	1.0527778
LINC02889	0.13276239	0.23507144	0.1501597	0.19897147
GDF15	0.04631395	0.11505073	0.11323474	0.1234167
MEGF9	0.2235088	0.23595315	0.1932299	0.19189751
ACTG2	0.04618459	0.1633184	0.09010283	0.23476584
KHDRBS2	0.13485697	0.16298713	0.13357651	0.10943244
PRB3	0.09758238	0.34632415	0.8620174	0.093972094
SFTPA1	0.23674874	0.32950205	0.24269873	0.19403832
MIR924HG	0.29759362	0.27242142	0.23256859	0.27929533
AC007368.1	0.031332634	0.043087915	0.08941035	0.1440213
PDE4D	0.09750818	0.11792097	0.16537051	0.14060013
LINC01705	0.06983798	0.12444641	0.19542874	0.5739562
CFAP54	0.14457059	0.19496086	0.24118009	0.19444716
TIMP3	0.3444741	0.3306126	0.27050167	0.26585752
DNAH3	0.11961459	0.10532223	0.15301326	0.13748522
SNX25	0.19202983	0.19787198	0.19156134	0.18853605
ROBO2	1.9403995	1.6645035	1.5955366	1.4317489
SLC6A14	0.18009081	0.14353116	0.14265656	0.09055395
VSIG1	0.036457863	0.046740435	0.07346714	0.06441642
ALOX15B	0.088587485	0.094203204	0.086887956	0.04863661
KAZN	0.7783462	0.8831849	0.7501092	0.7948267
STAP1	0.1546176	0.09887686	0.14015013	0.16437282
KCND2	0.3267151	0.6103014	0.613173	1.4779696
LINC00578	0.31814063	0.65782195	0.55418	0.91342276
CR2	0.06916396	0.0673056	0.11966972	0.07903565
AC027288.3	0.20604299	0.103441946	0.08338843	0.08018089
ITGB8	0.26192173	0.4698656	0.45310676	0.6074736
SGPP2	0.094572335	0.11226453	0.16958812	0.101455815
STK33	0.18506624	0.22310123	0.24489242	0.21261877
AC009133.1	0.16390342	0.067959055	0.062384248	0.09784648
CASC15	0.30858505	0.6822296	0.6218699	0.7962323
LAMC2	0.13181628	0.13291949	0.057116773	0.16332407
CADM1	0.27520823	0.23215725	0.22353867	0.16579914
HHIP	0.29542416	0.12274533	0.1307128	0.094603546
EYA4	0.203155	0.30096978	0.3219473	0.3239123
LMNTD1	0.07163858	0.11425885	0.09114264	0.13990608
SLC30A8	0.08426775	0.059037574	0.13392578	0.0866887
FAM155A	0.14688556	0.19274193	0.16456985	0.2341922
VEPH1	0.2621324	0.19080362	0.13723376	0.114054
CP	0.0884582	0.18883707	0.23341158	0.2432623
NOL4	0.10996934	0.057492465	0.116372705	0.19191825
LINC01937	0.14182295	0.10687699	0.08089929	0.13318492
MUC5B	0.055815198	0.23047134	0.5038666	0.27186155
CHST9	0.10755256	0.1984873	0.226464	0.21189518
RTKN2	0.39984295	0.23689255	0.17658994	0.073318765
TRIM5	0.0718659	0.2345775	0.15127876	0.19664258
ERICH3	0.073424414	0.12058256	0.15045202	0.13874647
CFAP46	0.108135805	0.06653631	0.09365122	0.10859898
GPRC5D-AS1	0.16579702	0.17439136	0.20311998	0.17230397
MUC5AC	0.07375983	0.14210144	0.23613982	0.14783677
DMBT1	0.13230509	0.13806742	0.26414543	0.102802485
LINC01170	0.055083796	0.10824529	0.110518605	0.15821199
RELN	0.079209134	0.103221506	0.080436364	0.12387452
LANCL1-AS1	0.1361037	0.09186748	0.09778136	0.08065472
DNAH11	0.17343386	0.16994601	0.21221188	0.21548958
ATP11A	0.1791289	0.17810446	0.14328416	0.16786969
ZNF385D	0.12379132	0.41868514	0.3237494	0.4919082
MACC1	0.16654453	0.2715109	0.24741277	0.17980818
AL445584.2	0.06427726	0.105799474	0.023309505	0.13423699
TMEM164	0.2487322	0.21149345	0.19271368	0.19456124
AC083837.1	0.24408023	0.28913552	0.32419086	0.23919429
HYDIN	0.104540065	0.10526519	0.13201174	0.12708215
SFTPA2	0.2876305	0.33917224	0.216854	0.17020534
SLC5A8	0.052078594	0.10540669	0.18086451	0.07037311
BPIFA1	0.057412323	0.10458281	0.07017173	0.27124316
CACNA1A	0.18028145	0.17793703	0.13546063	0.27945468
MYO16	0.42118156	0.58276993	0.5047377	0.63294154
CFAP47	0.14385027	0.14740847	0.23381941	0.1520768
CUX2	0.037320558	0.14492814	0.065010555	0.17288898
AHR	0.22848853	0.24485613	0.17615034	0.25255954
PDZRN4	0.13713153	0.14287044	0.22695771	0.30650553
RAB27B	0.13239561	0.15584187	0.14624855	0.13619293
ANKFN1	0.10097815	0.1778074	0.19747989	0.2386157
ADARB2	0.12889974	0.10420501	0.18060875	0.10983732
GRM7	0.1478068	0.24914344	0.33945945	0.59722733
COL25A1	0.28599083	0.23808397	0.19134945	0.30182663
AL357507.1	0.07442734	0.11999385	0.10553318	0.1481273
TTC29	0.09584456	0.09768427	0.17323904	0.10531341
CXCL10	0.05863127	0.016484879	0.055520482	0.031465806
DGKI	0.14756618	0.23379445	0.21578997	0.49018168
WDR49	0.13142844	0.2566195	0.27936903	0.18750413
DNAH7	0.18170956	0.21310788	0.26373455	0.1976117
PTGFR	0.105668426	0.13106076	0.15229943	0.1002388
ANKRD1	0.154408	0.11721961	0.19096759	0.07852554
SLC39A8	0.28930834	0.15943679	0.14785779	0.10874948
GPC6	0.8781623	0.79429394	0.8821479	1.0956466
SLC4A4	0.19600233	0.26623568	0.24516073	0.23402922
SLC26A4	0.05925799	0.04897628	0.061601695	0.08604454
ITGA11	0.1197107	0.253018	0.4285602	0.7798856
CD38	0.06907248	0.1404932	0.14759949	0.12601171
COL1A1	0.33544517	0.67227846	0.6535257	1.2712578
WIF1	0.193498	0.27928767	0.23104009	0.12666811
XKR4	0.056055028	0.07308973	0.10250334	0.13533922
AC109466.1	0.10052509	0.13188273	0.16534184	0.18261743
MIR100HG	0.7828629	0.76796603	0.85650367	0.89093477
POSTN	0.14135407	0.6051993	0.4250466	0.8411011
FGF13	0.10895786	0.19313121	0.24864924	0.2269689
PEBP4	0.20815657	0.08571202	0.0846328	0.12622471
FGF14	0.67643136	0.7056347	0.6908425	0.6969313
PAPPA2	0.104660966	0.14134248	0.07133362	0.15770444
CLIC5	0.15689647	0.16992152	0.10689211	0.06745678
SLC35F3	0.045034863	0.12157054	0.10140632	0.12158489
EGFEM1P	0.114321426	0.17738003	0.26585832	0.18292761
AC117453.1	0.55102503	0.6238524	0.7275682	0.91414815
HMGA2	0.05369064	0.14214644	0.12045939	0.25279745
ALPL	0.09418203	0.07497707	0.089478076	0.08738952
AC130456.2	0.15099856	0.116519086	0.17064846	0.14801484
CDH6	0.068478204	0.124129385	0.09347913	0.1226784
PAPPA	0.59594864	0.65371966	0.48646414	0.77352697
CXCL9	0.033339355	0.02461703	0.065225914	0.026981467
NRG3	0.12763456	0.13510227	0.14076409	0.0947321
AL138701.2	0.0385131	0.028604148	0.102413744	0.08099147
SHROOM3	0.32263896	0.22819747	0.22831722	0.19853163
MYH11	0.0882608	0.20952745	0.2018157	0.26534232
GRK3	0.23845562	0.38167247	0.3849489	0.36773166
RALYL	0.10184172	0.18164705	0.18565875	0.16735947
MROH9	0.09507715	0.14492583	0.11161496	0.2256061
ENPP1	0.071967915	0.0776217	0.08115582	0.2234479
FN1	1.2445996	1.2031473	1.1701139	1.1023195
FER1L6	0.15058203	0.10599201	0.1509338	0.06852676
